Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group
5841,ANNE HAMERSLEY PRIMARY SCHOOL,16 DUNNETT DRIVE,ELLENBROOK,WA,6069,16 DUNNETT DRIVE,ELLENBROOK,WA,6069,-31.74539641,116.0087173,08 9297 7000,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5509,ANZAC TERRACE PRIMARY SCHOOL,176 ANZAC TERRACE,BASSENDEAN,WA,6054,176 ANZAC TERRACE,BASSENDEAN,WA,6054,-31.89719261,115.9372531,08 9352 2600,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5010,APPLECROSS PRIMARY SCHOOL,65 KINTAIL ROAD,APPLECROSS,WA,6153,65 KINTAIL ROAD,APPLECROSS,WA,6153,-32.01084327,115.8395984,08 6274 1850,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
4002,APPLECROSS SENIOR HIGH SCHOOL,LINKS ROAD,ARDROSS,WA,6153,LINKS ROAD,ARDROSS,WA,6153,-32.029376,115.83509,08 9314 9393,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS
1107,AQUINAS COLLEGE,58 MT HENRY ROAD,SALTER POINT,WA,6152,58 MT HENRY ROAD,SALTER POINT,WA,6152,-32.02617519,115.8617538,08 9450 0600,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
1100,ARANMORE CATHOLIC COLLEGE,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,-31.92706854,115.8431695,08 9201 5200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
1241,ARANMORE CATHOLIC PRIMARY SCHOOL,20 BRENTHAM STREET,LEEDERVILLE,WA,6007,20 BRENTHAM STREET,LEEDERVILLE,WA,6007,-31.92790363,115.8392341,08 6318 7800,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
5792,ARBOR GROVE PRIMARY SCHOOL,BROOKMOUNT DRIVE,ELLENBROOK,WA,6069,BROOKMOUNT DRIVE,ELLENBROOK,WA,6069,-31.77105084,115.962637,08 6497 4800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5012,ARDROSS PRIMARY SCHOOL,46 LINKS ROAD,ARDROSS,WA,6153,46 LINKS ROAD,ARDROSS,WA,6153,-32.0274405,115.8346577,08 9263 1350,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
6050,ARMADALE EDUCATION SUPPORT CENTRE,169 SOUTH WESTERN HIGHWAY,ARMADALE,WA,6112,PO BOX 189,ARMADALE,WA,6992,-32.16152603,116.0143523,08 9497 6435,SOUTH METROPOLITAN,Education Support Centres,EDUCATION SUPPORT
5014,ARMADALE PRIMARY SCHOOL,1 CARRADINE ROAD,ARMADALE,WA,6112,1 CARRADINE ROAD,ARMADALE,WA,6112,-32.14823967,116.0264848,08 9391 4500,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
4003,ARMADALE SENIOR HIGH SCHOOL,169 SOUTH WESTERN HIGHWAY,ARMADALE,WA,6112,PO BOX 189,ARMADALE,WA,6992,-32.16152603,116.0143523,08 9497 6400,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS
5676,ASHBURTON DRIVE PRIMARY SCHOOL,6 NULLAGINE WAY,GOSNELLS,WA,6110,6 NULLAGINE WAY,GOSNELLS,WA,6110,-32.0862307,115.9841976,08 9234 6300,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5786,ASHDALE PRIMARY SCHOOL,51 ASHDALE BOULEVARD,DARCH,WA,6065,51 ASHDALE BOULEVARD,DARCH,WA,6065,-31.80875751,115.8437538,08 6207 4500,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
4181,ASHDALE SECONDARY COLLEGE,75 WESTPORT PARADE,DARCH,WA,6065,75 WESTPORT PARADE,DARCH,WA,6065,-31.81162275,115.8414952,08 6207 1300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS
5015,ASHFIELD PRIMARY SCHOOL,65 MARGARET STREET,ASHFIELD,WA,6054,65 MARGARET STREET,ASHFIELD,WA,6054,-31.91530992,115.9409018,08 6216 1300,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5854,ASPIRI PRIMARY SCHOOL,30 SUNRAY AVENUE,PIARA WATERS,WA,6112,30 SUNRAY AVENUE,PIARA WATERS,WA,6112,-32.138988,115.912209,08 9397 8300,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
1287,ASSUMPTION CATHOLIC PRIMARY SCHOOL,22-34 GORDON ROAD,MANDURAH,WA,6210,22-34 GORDON ROAD,MANDURAH,WA,6210,-32.50994328,115.7464321,08 9583 8500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
1519,ATLANTIS BEACH BAPTIST COLLEGE,800 BREAKWATER DRIVE,TWO ROCKS,WA,6037,800 BREAKWATER DRIVE,TWO ROCKS,WA,6037,-31.473535,115.644623,08 9544 3000,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
5016,ATTADALE PRIMARY SCHOOL,WICHMANN ROAD,ATTADALE,WA,6156,WICHMANN ROAD,ATTADALE,WA,6156,-32.02544682,115.8018145,08 6274 1700,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
4184,ATWELL COLLEGE,201 BRENCHLEY DRIVE,ATWELL,WA,6164,201 BRENCHLEY DRIVE,ATWELL,WA,6164,-32.14395682,115.8641462,08 6174 2200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS
5765,ATWELL PRIMARY SCHOOL,160 LYDON BOULEVARD,ATWELL,WA,6164,160 LYDON BOULEVARD,ATWELL,WA,6164,-32.13527555,115.867828,08 6174 2400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5820,AUBIN GROVE PRIMARY SCHOOL,85 CAMDEN BOULEVARD,AUBIN GROVE,WA,6164,85 CAMDEN BOULEVARD,AUBIN GROVE,WA,6164,-32.17306065,115.8623522,08 6174 6500,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5017,AUGUSTA PRIMARY SCHOOL,32 ALLNUTT TERRACE,AUGUSTA,WA,6290,PO BOX 106,AUGUSTA,WA,6290,-34.31671839,115.1595029,08 9781 5100,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS
1487,AUSTIN COVE BAPTIST COLLEGE,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,-32.59324476,115.8065154,08 9520 8200,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
1491,AUSTRALIAN CHRISTIAN COLLEGE - DARLING DOWNS,10 NINTH ROAD,HILBERT,WA,6112,10 NINTH ROAD,HILBERT,WA,6112,-32.17468068,116.0042944,08 9391 1500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
1438,AUSTRALIAN CHRISTIAN COLLEGE - SOUTHLANDS,26 BREWSTER ROAD,ALBANY,WA,6330,26 BREWSTER ROAD,ALBANY,WA,6330,-34.99550802,117.9227056,08 9892 5100,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT
1391,AUSTRALIAN ISLAMIC COLLEGE DIANELLA,81 CLEVELAND STREET,DIANELLA,WA,6059,81 CLEVELAND STREET,DIANELLA,WA,6059,-31.90293601,115.8744467,08 9375 9770,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
1547,AUSTRALIAN ISLAMIC COLLEGE FORRESTDALE,651 NICHOLSON ROAD,FORRESTDALE,WA,6112,651 NICHOLSON ROAD,FORRESTDALE,WA,6112,-32.16941842,115.9252832,08 9493 5819,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
1546,AUSTRALIAN ISLAMIC COLLEGE HENLEY BROOK,230 & 238 HENLEY STREET,HENLEY BROOK,WA,6055,230 & 238 HENLEY STREET,HENLEY BROOK,WA,6055,-31.80563944,115.9793247,08 9375 9892,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
1441,AUSTRALIAN ISLAMIC COLLEGE KEWDALE,139 PRESIDENT STREET,KEWDALE,WA,6105,139 PRESIDENT STREET,KEWDALE,WA,6105,-31.97999061,115.9325273,08 9362 2100,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
1331,AUSTRALIAN ISLAMIC COLLEGE THORNLIE,17 TONBRIDGE WAY,THORNLIE,WA,6108,17 TONBRIDGE WAY,THORNLIE,WA,6108,-32.05402507,115.9611396,08 9493 2718,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
5629,AUSTRALIND PRIMARY SCHOOL,BARNES AVENUE,AUSTRALIND,WA,6233,PO BOX A630,AUSTRALIND,WA,6233,-33.28059897,115.7271368,08 9796 3900,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS
4146,AUSTRALIND SENIOR HIGH SCHOOL,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,-33.27665965,115.7284365,08 9797 4400,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS
5853,AVELEY NORTH PRIMARY SCHOOL,77 STRINESDALE BOULEVARD,AVELEY,WA,6069,77 STRINESDALE BOULEVARD,AVELEY,WA,6069,-31.778441,115.991854,08 9297 7800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5821,AVELEY PRIMARY SCHOOL,8 BOLERO ROAD,AVELEY,WA,6069,8 BOLERO ROAD,AVELEY,WA,6069,-31.79108088,115.9905586,08 9297 7350,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
4209,AVELEY SECONDARY COLLEGE,MAFFINA PARADE,ELLENBROOK,WA,6069,MAFFINA PARADE,ELLENBROOK,WA,6069,-31.767004,115.987559,08 6296 1000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS
6041,AVONVALE EDUCATION SUPPORT CENTRE,HUTT STREET,NORTHAM,WA,6401,PO BOX 1061,NORTHAM,WA,6401,-31.64551218,116.6613138,08 9621 5250,WHEATBELT,Education Support Centres,EDUCATION SUPPORT
5018,AVONVALE PRIMARY SCHOOL,HUTT STREET,NORTHAM,WA,6401,PO BOX 666,NORTHAM,WA,6401,-31.64551218,116.6613138,08 9621 5200,WHEATBELT,Primary Schools,PRIMARY SCHOOLS
5020,BABAKIN PRIMARY SCHOOL,FARRAR STREET,BABAKIN,WA,6428,PO BOX 288,CORRIGIN,WA,6375,-32.12359155,118.0209226,08 9065 2400,WHEATBELT,Primary Schools,PRIMARY SCHOOLS
5021,BADGINGARRA PRIMARY SCHOOL,MCNAMARA ROAD,BADGINGARRA,WA,6521,C/- POST OFFICE,BADGINGARRA,WA,6521,-30.4024941,115.550545,08 9652 8900,MIDWEST,Primary Schools,PRIMARY SCHOOLS
5022,BAKERS HILL PRIMARY SCHOOL,33 SAINT GEORGE STREET,BAKERS HILL,WA,6562,33 SAINT GEORGE STREET,BAKERS HILL,WA,6562,-31.75120467,116.4615984,08 9574 3100,WHEATBELT,Primary Schools,PRIMARY SCHOOLS
5023,BALCATTA PRIMARY SCHOOL,387 MAIN STREET,BALCATTA,WA,6021,387 MAIN STREET,BALCATTA,WA,6021,-31.88093054,115.8272729,08 9253 4900,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
4004,BALCATTA SENIOR HIGH SCHOOL,56 AMELIA STREET,BALCATTA,WA,6021,56 AMELIA STREET,BALCATTA,WA,6021,-31.87551716,115.8122429,08 9345 8200,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS
5847,BALDIVIS GARDENS PRIMARY SCHOOL,NADINE PROMENADE,BALDIVIS,WA,6171,NADINE PROMENADE,BALDIVIS,WA,6171,-32.300823,115.810062,08 9523 7000,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5024,BALDIVIS PRIMARY SCHOOL,214 FIFTY ROAD,BALDIVIS,WA,6171,214 FIFTY ROAD,BALDIVIS,WA,6171,-32.30718679,115.8174722,08 9523 5700,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
4190,BALDIVIS SECONDARY COLLEGE,STILLWATER DRIVE,BALDIVIS,WA,6171,PO BOX 4119,BALDIVIS,WA,6171,-32.334099,115.828418,08 9523 3600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS
5580,BALER PRIMARY SCHOOL,BALER CLOSE,SOUTH HEDLAND,WA,6722,PO BOX 2621,SOUTH HEDLAND,WA,6722,-20.40461541,118.6124558,08 9172 8400,PILBARA,Primary Schools,PRIMARY SCHOOLS
5025,BALGA PRIMARY SCHOOL,11 FERNHURST CRESCENT,BALGA,WA,6061,11 FERNHURST CRESCENT,BALGA,WA,6061,-31.86059553,115.8448001,08 9253 4500,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
4050,BALGA SENIOR HIGH SCHOOL,2 MARKHAM WAY,BALGA,WA,6061,2 MARKHAM WAY,BALGA,WA,6061,-31.85134146,115.8465042,08 9247 0222,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS
5027,BALINGUP PRIMARY SCHOOL,CNR BROCKMAN AND STEERE STS,BALINGUP,WA,6253,PO BOX 372,BALINGUP,WA,6253,-33.78633822,115.9822069,08 9782 5900,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS
4158,BALLAJURA COMMUNITY COLLEGE,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,-31.84474671,115.8934345,08 9262 7777,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS
5702,BALLAJURA PRIMARY SCHOOL,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,-31.83593382,115.892303,08 9338 2200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5609,BAMBARA PRIMARY SCHOOL,30 GOSSE ROAD,PADBURY,WA,6025,30 GOSSE ROAD,PADBURY,WA,6025,-31.79830122,115.7614207,08 6206 2150,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5762,BANKSIA GROVE PRIMARY SCHOOL,14 VIRIDIAN DRIVE,BANKSIA GROVE,WA,6031,14 VIRIDIAN DRIVE,BANKSIA GROVE,WA,6031,-31.70254405,115.8089621,08 9233 6333    ,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
1577,BANKSIA MONTESSORI SCHOOL,17 CHATTON STREET,DIANELLA,WA,6059,17 CHATTON STREET,DIANELLA,WA,6059,-31.89277585,115.8692823,08 9275 5997,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
5701,BANKSIA PARK PRIMARY SCHOOL,HICKS STREET,LEEMING,WA,6149,HICKS STREET,LEEMING,WA,6149,-32.07166263,115.8754583,08 9266 6400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5817,BANNISTER CREEK PRIMARY SCHOOL,92 PURLEY CRESCENT,LYNWOOD,WA,6147,92 PURLEY CRESCENT,LYNWOOD,WA,6147,-32.0397245,115.9285022,08 9366 0900,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5030,BASSENDEAN PRIMARY SCHOOL,70 WEST ROAD,BASSENDEAN,WA,6054,70 WEST ROAD,BASSENDEAN,WA,6054,-31.90747284,115.9534451,08 6216 1400,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5519,BATEMAN PRIMARY SCHOOL,2 BARTLING CRESCENT,BATEMAN,WA,6150,2 BARTLING CRESCENT,BATEMAN,WA,6150,-32.05066001,115.8453415,08 6258 6900,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5830,BAYNTON WEST PRIMARY SCHOOL,MARNIYARRA LOOP,BAYNTON,WA,6714,MARNIYARRA LOOP,BAYNTON,WA,6714,-20.75252283,116.79939,08 9187 6200,PILBARA,Primary Schools,PRIMARY SCHOOLS
5031,BAYSWATER PRIMARY SCHOOL,MURRAY STREET,BAYSWATER,WA,6053,MURRAY STREET,BAYSWATER,WA,6053,-31.92081606,115.9117733,08 9462 6600,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5190,BAYULU REMOTE COMMUNITY SCHOOL,GOGO STATION ROAD,VIA FITZROY CROSSING,WA,6765,PO BOX 76,FITZROY CROSSING,WA,6765,-18.28637,125.58345,08 9163 8650,KIMBERLEY,Remote Community Schools,PRIMARY SCHOOLS
5032,BEACHLANDS PRIMARY SCHOOL,50 WHITFIELD STREET,GERALDTON,WA,6530,PO BOX 7170,GERALDTON PO,WA,6531,-28.78770753,114.6043717,08 9923 6900,MIDWEST,Primary Schools,PRIMARY SCHOOLS
5033,BEACON PRIMARY SCHOOL,BROADBENT STREET,BEACON,WA,6472,C/- POST OFFICE,BEACON,WA,6472,-30.45065535,117.8688978,08 9686 0700,WHEATBELT,Primary Schools,PRIMARY SCHOOLS
5034,BEACONSFIELD PRIMARY SCHOOL,5 HALE STREET,BEACONSFIELD,WA,6162,5 HALE STREET,BEACONSFIELD,WA,6162,-32.068989,115.7593864,08 9432 1000,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5720,BEAUMARIS PRIMARY SCHOOL,20 BEAUMARIS BOULEVARD,OCEAN REEF,WA,6027,20 BEAUMARIS BOULEVARD,OCEAN REEF,WA,6027,-31.74873142,115.7355637,08 6206 3100,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5084,BECKENHAM PRIMARY SCHOOL,386 RAILWAY PARADE,BECKENHAM,WA,6107,386 RAILWAY PARADE,BECKENHAM,WA,6107,-32.02408598,115.9573041,08 9278 3700,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
1349,BEECHBORO CHRISTIAN SCHOOL,375 MARSHALL ROAD,BEECHBORO,WA,6063,375 MARSHALL ROAD,BEECHBORO,WA,6063,-31.85664957,115.9340083,08 9377 5211,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
5696,BEECHBORO PRIMARY SCHOOL,20 KING ROAD,BEECHBORO,WA,6063,20 KING ROAD,BEECHBORO,WA,6063,-31.86780968,115.9357571,08 9392 5300,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5756,BEELIAR PRIMARY SCHOOL,86 THE GRANGE,BEELIAR,WA,6164,86 THE GRANGE,BEELIAR,WA,6164,-32.13297396,115.8207228,08 6174 1400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5859,BEENYUP PRIMARY SCHOOL,66 SHEPPARTON BOULEVARD,BYFORD,WA,6122,66 SHEPPARTON BOULEVARD,BYFORD,WA,6122,-32.233554,115.992722,08 9526 6500,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
6057,BELDON EDUCATION SUPPORT CENTRE,10 PACIFIC WAY,BELDON,WA,6027,10 PACIFIC WAY,BELDON,WA,6027,-31.7746556,115.7572522,08 6207 3280,NORTH METROPOLITAN,Education Support Centres,EDUCATION SUPPORT
5674,BELDON PRIMARY SCHOOL,10 PACIFIC WAY,BELDON,WA,6027,10 PACIFIC WAY,BELDON,WA,6027,-31.7746556,115.7572522,08 6207 3240,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5036,BELMAY PRIMARY SCHOOL,410 SYDENHAM STREET,CLOVERDALE,WA,6105,410 SYDENHAM STREET,CLOVERDALE,WA,6105,-31.9507814,115.9466374,08 6278 5400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
4005,BELMONT CITY COLLEGE,106 FISHER STREET,BELMONT,WA,6104,106 FISHER STREET,BELMONT,WA,6104,-31.95889136,115.9344344,08 9473 9800,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS
5038,BELMONT PRIMARY SCHOOL,213 GREAT EASTERN HIGHWAY,BELMONT,WA,6104,213 GREAT EASTERN HIGHWAY,BELMONT,WA,6104,-31.94467587,115.9228256,08 6216 1800,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
4153,BELRIDGE SECONDARY COLLEGE,17 GWENDOLINE DRIVE,BELDON,WA,6027,17 GWENDOLINE DRIVE,BELDON,WA,6027,-31.77038385,115.7631759,08 9408 8000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS
6091,BELRIDGE SECONDARY EDUCATION SUPPORT CENTRE,17 GWENDOLINE DRIVE,BELDON,WA,6027,17 GWENDOLINE DRIVE,BELDON,WA,6027,-31.77038385,115.7631759,08 9408 8050,NORTH METROPOLITAN,Education Support Centres,EDUCATION SUPPORT
5039,BENCUBBIN PRIMARY SCHOOL,CNR MURRAY/MONGER STREETS,BENCUBBIN,WA,6477,C/- POST OFFICE,BENCUBBIN,WA,6477,-30.8076984,117.8572615,08 9685 2500,WHEATBELT,Primary Schools,PRIMARY SCHOOLS
5041,BENTLEY PRIMARY SCHOOL,15 HEDLEY STREET,BENTLEY,WA,6102,15 HEDLEY STREET,BENTLEY,WA,6102,-32.01035815,115.9115642,08 6455 8000,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5799,BERTRAM PRIMARY SCHOOL,CHAMPION DRIVE,BERTRAM,WA,6167,CHAMPION DRIVE,BERTRAM,WA,6167,-32.24665386,115.843541,08 6174 1000,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
1285,BETHEL CHRISTIAN SCHOOL,20 BETHEL WAY,ALBANY,WA,6330,20 BETHEL WAY,ALBANY,WA,6330,-35.00481744,117.881185,08 9842 2100,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT
4060,BEVERLEY DISTRICT HIGH SCHOOL,20 JOHN STREET,BEVERLEY,WA,6304,20 JOHN STREET,BEVERLEY,WA,6304,-32.10031422,116.9276944,08 9646 2500,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS
5686,BIBRA LAKE PRIMARY SCHOOL,29 ANNOIS ROAD,BIBRA LAKE,WA,6163,29 ANNOIS ROAD,BIBRA LAKE,WA,6163,-32.09409186,115.8391505,08 6173 7100,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
5044,BICTON PRIMARY SCHOOL,VIEW TERRACE,BICTON,WA,6157,VIEW TERRACE,BICTON,WA,6157,-32.03272881,115.786548,08 9205 5800,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
