Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,KIN,PPR,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y11,Y12,Total_Students
1391,AUSTRALIAN ISLAMIC COLLEGE DIANELLA,81 CLEVELAND STREET,DIANELLA,WA,6059,81 CLEVELAND STREET,DIANELLA,WA,6059,-31.90293601,115.8744467,08 9375 9770,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,78,81,78,87,83,98,89,83,75,75,62,58,,,947
1547,AUSTRALIAN ISLAMIC COLLEGE FORRESTDALE,651 NICHOLSON ROAD,FORRESTDALE,WA,6112,651 NICHOLSON ROAD,FORRESTDALE,WA,6112,-32.16941842,115.9252832,08 9493 5819,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y08,41,37,55,48,46,41,50,31,75,30,,,,,454
1546,AUSTRALIAN ISLAMIC COLLEGE HENLEY BROOK,230 & 238 HENLEY STREET,HENLEY BROOK,WA,6055,230 & 238 HENLEY STREET,HENLEY BROOK,WA,6055,-31.80563944,115.9793247,08 9375 9892,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y08,44,49,45,43,40,46,51,23,47,26,,,,,414
1441,AUSTRALIAN ISLAMIC COLLEGE KEWDALE,139 PRESIDENT STREET,KEWDALE,WA,6105,139 PRESIDENT STREET,KEWDALE,WA,6105,-31.97999061,115.9325273,08 9362 2100,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,63,90,90,104,112,110,117,126,200,215,199,192,222,180,"2,020"
1331,AUSTRALIAN ISLAMIC COLLEGE THORNLIE,17 TONBRIDGE WAY,THORNLIE,WA,6108,17 TONBRIDGE WAY,THORNLIE,WA,6108,-32.05402507,115.9611396,08 9493 2718,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,79,101,110,122,104,86,99,74,,,,,,,775
5629,AUSTRALIND PRIMARY SCHOOL,BARNES AVENUE,AUSTRALIND,WA,6233,PO BOX A630,AUSTRALIND,WA,6233,-33.28059897,115.7271368,08 9796 3900,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,16,19,21,17,20,27,17,13,,,,,,,150
4146,AUSTRALIND SENIOR HIGH SCHOOL,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,-33.27665965,115.7284365,08 9797 4400,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,188,201,212,191,175,149,"1,116"
5853,AVELEY NORTH PRIMARY SCHOOL,77 STRINESDALE BOULEVARD,AVELEY,WA,6069,77 STRINESDALE BOULEVARD,AVELEY,WA,6069,-31.778441,115.991854,08 9297 7800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,83,98,107,99,103,106,91,79,,,,,,,766
5821,AVELEY PRIMARY SCHOOL,8 BOLERO ROAD,AVELEY,WA,6069,8 BOLERO ROAD,AVELEY,WA,6069,-31.79108088,115.9905586,08 9297 7350,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,80,93,88,86,93,69,72,77,,,,,,,658
4209,AVELEY SECONDARY COLLEGE,MAFFINA PARADE,ELLENBROOK,WA,6069,MAFFINA PARADE,ELLENBROOK,WA,6069,-31.767004,115.987559,08 6296 1000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,292,297,310,268,243,162,"1,572"
6041,AVONVALE EDUCATION SUPPORT CENTRE,HUTT STREET,NORTHAM,WA,6401,PO BOX 1061,NORTHAM,WA,6401,-31.64551218,116.6613138,08 9621 5250,WHEATBELT,Education Support Centres,EDUCATION SUPPORT,KIN,Y12,2,1,3,5,3,6,2,3,2,3,1,2,1,3,37
5018,AVONVALE PRIMARY SCHOOL,HUTT STREET,NORTHAM,WA,6401,PO BOX 666,NORTHAM,WA,6401,-31.64551218,116.6613138,08 9621 5200,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,10,15,16,11,11,11,8,15,,,,,,,97
5020,BABAKIN PRIMARY SCHOOL,FARRAR STREET,BABAKIN,WA,6428,PO BOX 288,CORRIGIN,WA,6375,-32.12359155,118.0209226,08 9065 2400,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,PPR,Y06,,2,,1,1,,2,1,,,,,,,7
5021,BADGINGARRA PRIMARY SCHOOL,MCNAMARA ROAD,BADGINGARRA,WA,6521,C/- POST OFFICE,BADGINGARRA,WA,6521,-30.4024941,115.550545,08 9652 8900,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,8,7,5,5,1,3,,3,,,,,,,32
5022,BAKERS HILL PRIMARY SCHOOL,33 SAINT GEORGE STREET,BAKERS HILL,WA,6562,33 SAINT GEORGE STREET,BAKERS HILL,WA,6562,-31.75120467,116.4615984,08 9574 3100,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,16,14,16,19,16,22,17,24,,,,,,,144
5023,BALCATTA PRIMARY SCHOOL,387 MAIN STREET,BALCATTA,WA,6021,387 MAIN STREET,BALCATTA,WA,6021,-31.88093054,115.8272729,08 9253 4900,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,44,35,36,34,35,32,31,,,,,,,287
4004,BALCATTA SENIOR HIGH SCHOOL,56 AMELIA STREET,BALCATTA,WA,6021,56 AMELIA STREET,BALCATTA,WA,6021,-31.87551716,115.8122429,08 9345 8200,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,182,199,190,190,133,101,995
5847,BALDIVIS GARDENS PRIMARY SCHOOL,NADINE PROMENADE,BALDIVIS,WA,6171,NADINE PROMENADE,BALDIVIS,WA,6171,-32.300823,115.810062,08 9523 7000,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,75,75,69,59,65,62,61,52,,,,,,,518
5024,BALDIVIS PRIMARY SCHOOL,214 FIFTY ROAD,BALDIVIS,WA,6171,214 FIFTY ROAD,BALDIVIS,WA,6171,-32.30718679,115.8174722,08 9523 5700,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,59,75,71,71,77,56,84,73,,,,,,,566
4190,BALDIVIS SECONDARY COLLEGE,STILLWATER DRIVE,BALDIVIS,WA,6171,PO BOX 4119,BALDIVIS,WA,6171,-32.334099,115.828418,08 9523 3600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,231,209,229,247,210,185,"1,311"
5580,BALER PRIMARY SCHOOL,BALER CLOSE,SOUTH HEDLAND,WA,6722,PO BOX 2621,SOUTH HEDLAND,WA,6722,-20.40461541,118.6124558,08 9172 8400,PILBARA,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,71,66,81,80,55,69,71,64,,,,,,,557
5025,BALGA PRIMARY SCHOOL,11 FERNHURST CRESCENT,BALGA,WA,6061,11 FERNHURST CRESCENT,BALGA,WA,6061,-31.86059553,115.8448001,08 9253 4500,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,24,28,28,33,31,17,30,13,,,,,,,204
4050,BALGA SENIOR HIGH SCHOOL,2 MARKHAM WAY,BALGA,WA,6061,2 MARKHAM WAY,BALGA,WA,6061,-31.85134146,115.8465042,08 9247 0222,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,84,111,91,126,98,77,587
5027,BALINGUP PRIMARY SCHOOL,CNR BROCKMAN AND STEERE STS,BALINGUP,WA,6253,PO BOX 372,BALINGUP,WA,6253,-33.78633822,115.9822069,08 9782 5900,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,2,9,9,5,11,5,9,12,,,,,,,62
4158,BALLAJURA COMMUNITY COLLEGE,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,-31.84474671,115.8934345,08 9262 7777,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,178,149,179,174,206,156,"1,042"
5702,BALLAJURA PRIMARY SCHOOL,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,-31.83593382,115.892303,08 9338 2200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,76,75,86,74,100,83,90,94,,,,,,,678
5609,BAMBARA PRIMARY SCHOOL,30 GOSSE ROAD,PADBURY,WA,6025,30 GOSSE ROAD,PADBURY,WA,6025,-31.79830122,115.7614207,08 6206 2150,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,31,42,38,34,34,28,22,23,,,,,,,252
5762,BANKSIA GROVE PRIMARY SCHOOL,14 VIRIDIAN DRIVE,BANKSIA GROVE,WA,6031,14 VIRIDIAN DRIVE,BANKSIA GROVE,WA,6031,-31.70254405,115.8089621,08 9233 6333    ,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,33,41,41,49,60,58,54,67,,,,,,,403
1577,BANKSIA MONTESSORI SCHOOL,17 CHATTON STREET,DIANELLA,WA,6059,17 CHATTON STREET,DIANELLA,WA,6059,-31.89277585,115.8692823,08 9275 5997,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,PPR,12,7,,,,,,,,,,,,,19
5701,BANKSIA PARK PRIMARY SCHOOL,HICKS STREET,LEEMING,WA,6149,HICKS STREET,LEEMING,WA,6149,-32.07166263,115.8754583,08 9266 6400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,39,26,40,37,34,30,32,29,,,,,,,267
5817,BANNISTER CREEK PRIMARY SCHOOL,92 PURLEY CRESCENT,LYNWOOD,WA,6147,92 PURLEY CRESCENT,LYNWOOD,WA,6147,-32.0397245,115.9285022,08 9366 0900,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,60,89,64,77,86,73,68,62,,,,,,,579
5030,BASSENDEAN PRIMARY SCHOOL,70 WEST ROAD,BASSENDEAN,WA,6054,70 WEST ROAD,BASSENDEAN,WA,6054,-31.90747284,115.9534451,08 6216 1400,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,60,41,53,64,49,40,36,24,,,,,,,367
5519,BATEMAN PRIMARY SCHOOL,2 BARTLING CRESCENT,BATEMAN,WA,6150,2 BARTLING CRESCENT,BATEMAN,WA,6150,-32.05066001,115.8453415,08 6258 6900,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,38,42,41,42,50,53,53,56,,,,,,,375
5830,BAYNTON WEST PRIMARY SCHOOL,MARNIYARRA LOOP,BAYNTON,WA,6714,MARNIYARRA LOOP,BAYNTON,WA,6714,-20.75252283,116.79939,08 9187 6200,PILBARA,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,72,95,102,115,95,112,98,116,,,,,,,805
5031,BAYSWATER PRIMARY SCHOOL,MURRAY STREET,BAYSWATER,WA,6053,MURRAY STREET,BAYSWATER,WA,6053,-31.92081606,115.9117733,08 9462 6600,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,52,57,55,59,60,53,52,48,,,,,,,436
5190,BAYULU REMOTE COMMUNITY SCHOOL,GOGO STATION ROAD,VIA FITZROY CROSSING,WA,6765,PO BOX 76,FITZROY CROSSING,WA,6765,-18.28637,125.58345,08 9163 8650,KIMBERLEY,Remote Community Schools,PRIMARY SCHOOLS,KIN,Y08,4,12,8,7,8,7,8,7,7,4,,,,,72
5032,BEACHLANDS PRIMARY SCHOOL,50 WHITFIELD STREET,GERALDTON,WA,6530,PO BOX 7170,GERALDTON PO,WA,6531,-28.78770753,114.6043717,08 9923 6900,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,12,21,12,17,14,20,16,17,,,,,,,129
